lat,lon,num_tweets,num_users
40.277,-80.037,1,1
40.522,-80.183,1,1
40.449,-79.949,68,34
40.388,-80.026,36,14
40.585,-79.875,9,8
40.351,-80.117,5,5
40.314,-79.86,2365,2
40.468,-80.068,15,5
40.458,-79.832,8,4
40.442,-80.011,33,24
40.556,-79.85,1,1
40.536,-79.858,1,1
40.314,-79.966,3,2
40.63,-79.86,125,2
40.584,-80.168,5,1
40.434,-79.995,78,62
40.402,-79.889,3,2
40.49,-79.89,2,2
40.421,-80.044,60,54
40.366,-79.96,1,1
40.534,-79.854,1,1
40.512,-80.106,4,4
40.469,-80.039,5,5
40.273,-79.966,8,3
40.549,-80.078,13,6
40.368,-79.973,9,2
40.357,-80.125,1,1
40.555,-79.826,2,2
40.406,-80.035,10,10
40.463,-79.852,92,2
40.552,-79.83,4,4
40.472,-79.82,32,24
40.376,-80.11,1,1
40.364,-80.063,4,3
40.444,-80.164,52,4
40.431,-79.905,1,1
40.347,-79.958,1,1
40.339,-79.984,5,5
40.425,-80.157,3,3
40.454,-79.88,24,5
40.327,-79.972,40,2
40.402,-79.863,1,1
40.28,-79.836,7,6
40.266,-79.996,109,5
40.523,-79.805,99,1
40.564,-80.133,1,1
40.271,-79.909,1,1
40.337,-79.972,3,3
40.462,-79.994,8,3
40.422,-79.805,4,2
40.544,-80.059,1,1
40.439,-79.969,500,16
40.421,-79.944,1,1
